audit_id,site,inspection_date,closed_date,compliance_score,finding_category,findings_detail,corrective_action,auditor,status,_source_file,_batch_id,incident_id,incident_date,incident_type,severity,description,root_cause,response_time_hours,decision,decision_reason
,SITE-006,,,39.7,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00617,2026-10-08T00:00:00Z,Leak,Critical,Conference type citizen forget thank vote article beautiful themselves.,Operator Error,2.6,rejected,hard rule failure: no_future_incidents
,SITE-005,,,92.7,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05183,2026-09-12T00:00:00Z,Near Miss,Low,Make throw have accept stage ahead bill paper his interview his western listen relationship question.,Corrosion,5.1,rejected,hard rule failure: no_future_incidents
,SITE-003,,,80.8,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03886,2026-08-25T00:00:00Z,Fire,Medium,Scientist less report level police everyone move from live total note per create race decision individual everything heavy music.,Third-party Damage,7.4,rejected,hard rule failure: no_future_incidents
,SITE-003,,,22.1,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02328,2026-09-12T00:00:00Z,Spill,Critical,Parent rich size among institution glass while including example keep assume oil because everyone we.,,6.3,rejected,hard rule failure: no_future_incidents
,SITE-004,,,67.8,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01984,2026-09-24T00:00:00Z,Fire,High,Easy value hair surface fire everything firm.,Third-party Damage,0.9,rejected,hard rule failure: no_future_incidents
,SITE-004,,,72.3,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00209,2026-09-02T00:00:00Z,Near Miss,Medium,Eye behind believe probably rise let explain write study case quickly Mrs.,Corrosion,5.8,rejected,hard rule failure: no_future_incidents
,SITE-002,,,94.4,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02856,2026-10-17T00:00:00Z,Fire,Medium,Congress partner agent feel mother sell matter investment rise direction very kid your foot whose animal remember.,Corrosion,1.5,rejected,hard rule failure: no_future_incidents
,SITE-002,,,84.9,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00216,2026-08-05T00:00:00Z,Fire,Low,Treat development can make dream camera message we worry those bring.,,14.5,rejected,hard rule failure: no_future_incidents
,SITE-002,,,38.2,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03672,2026-08-04T00:00:00Z,Equipment Failure,Critical,Tax his some despite interest music month those focus national candidate tell cost.,Operator Error,7.8,rejected,hard rule failure: no_future_incidents
,SITE-003,,,50.9,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02699,2026-09-12T00:00:00Z,Spill,,Reflect young part particularly service meeting low.,Corrosion,3.8,rejected,hard rule failure: no_future_incidents
,SITE-003,,,41.7,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04294,2026-09-26T00:00:00Z,,Critical,Almost receive wide call skin public federal during wear surface tree couple very stay more.,Corrosion,0.9,rejected,hard rule failure: no_future_incidents
,SITE-004,,,61.2,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03528,2026-08-27T00:00:00Z,Leak,Medium,Success without often so culture sea even father seem yeah itself effect cause forward establish.,,2.9,rejected,hard rule failure: no_future_incidents
,SITE-006,,,60.9,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02750,2026-09-28T00:00:00Z,Near Miss,High,Movie soon almost contain last find expect job suggest team myself message guy role.,Corrosion,11.4,rejected,hard rule failure: no_future_incidents
,SITE-003,,,83.4,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00418,2026-10-05T00:00:00Z,Leak,Low,From one success once dinner machine.,,10.4,rejected,hard rule failure: no_future_incidents
,SITE-004,,,92.4,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04442,2026-08-03T00:00:00Z,Near Miss,Low,Several accept still rise employee agree response despite.,Operator Error,18.1,rejected,hard rule failure: no_future_incidents
,SITE-006,,,78.8,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03797,2026-10-17T00:00:00Z,Fire,Medium,Pm body might order live hair two people ready south debate.,,3.0,rejected,hard rule failure: no_future_incidents
,SITE-005,,,92.2,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02345,2026-10-02T00:00:00Z,Leak,Low,Article right practice share room vote story improve stop act majority simple become place.,Valve Failure,4.7,rejected,hard rule failure: no_future_incidents
,SITE-002,,,85.0,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00192,2026-08-23T00:00:00Z,Equipment Failure,Low,Action PM reflect girl easy could performance room safe picture what far.,,19.5,rejected,hard rule failure: no_future_incidents
,SITE-006,,,63.4,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03358,2026-08-18T00:00:00Z,Equipment Failure,Critical,Line level political administration former try west ever song agreement simple conference statement concern another note.,Corrosion,11.5,rejected,hard rule failure: no_future_incidents
,SITE-002,,,92.0,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01499,2026-09-20T00:00:00Z,Fire,,Subject value plant rich product figure turn newspaper foreign might resource cultural story no write several always.,Sensor Malfunction,13.5,rejected,hard rule failure: no_future_incidents
,SITE-002,,,84.3,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04206,2026-08-05T00:00:00Z,Fire,Medium,Test particularly meet bank effort of ready.,Operator Error,12.6,rejected,hard rule failure: no_future_incidents
,SITE-005,,,86.5,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01990,2026-09-20T00:00:00Z,Leak,Low,Mouth himself state most concern artist page rest election economy culture protect smile air everybody.,Corrosion,6.3,rejected,hard rule failure: no_future_incidents
,SITE-006,,,88.0,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05776,2026-09-20T00:00:00Z,Spill,Medium,Interview cup right for tend large compare.,Third-party Damage,7.8,rejected,hard rule failure: no_future_incidents
,SITE-006,,,68.1,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01110,2026-09-16T00:00:00Z,Leak,Medium,Rich government choose for successful my top performance response inside mind weight sing this with lead.,Sensor Malfunction,3.8,rejected,hard rule failure: no_future_incidents
,SITE-004,,,82.2,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00262,2026-07-28T00:00:00Z,Near Miss,Medium,Sea although it change couple to cover exist firm similar central together.,Corrosion,13.7,rejected,hard rule failure: no_future_incidents
,SITE-003,,,57.9,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02082,2026-08-28T00:00:00Z,Near Miss,Critical,Hope dream step fund west top generation else free though dark affect require specific past.,Material Fatigue,2.5,rejected,hard rule failure: no_future_incidents
,SITE-001,,,79.7,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04606,2026-10-19T00:00:00Z,Leak,Low,To fly clearly without understand deal however together half report tax act.,Operator Error,12.6,rejected,hard rule failure: no_future_incidents
,SITE-001,,,63.0,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03239,2026-08-07T00:00:00Z,Equipment Failure,High,Question sort include bill less painting direction man inside friend.,,3.0,rejected,hard rule failure: no_future_incidents
,SITE-006,,,66.2,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04389,2026-10-14T00:00:00Z,Leak,High,Need newspaper yard something reality probably audience baby laugh often.,Third-party Damage,6.0,rejected,hard rule failure: no_future_incidents
,SITE-001,,,82.1,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05961,2026-10-01T00:00:00Z,Spill,Low,Program she article class so support dark always.,Material Fatigue,7.8,rejected,hard rule failure: no_future_incidents
,SITE-005,,,46.5,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02035,2026-08-28T00:00:00Z,Equipment Failure,Critical,Ask most staff husband push available brother another bad affect.,,1.7,rejected,hard rule failure: no_future_incidents
,SITE-001,,,89.9,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01778,2026-09-15T00:00:00Z,Leak,Low,Yet skin peace age pass speak stage.,Operator Error,12.1,rejected,hard rule failure: no_future_incidents
,SITE-001,,,59.8,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05696,2026-08-09T00:00:00Z,Fire,Medium,Customer nor but see anything.,,7.1,rejected,hard rule failure: no_future_incidents
,SITE-001,,,85.7,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03887,2026-08-20T00:00:00Z,Near Miss,Low,Skin father knowledge rich military how.,Operator Error,8.3,rejected,hard rule failure: no_future_incidents
,SITE-001,,,70.9,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00568,2026-10-04T00:00:00Z,Leak,High,Radio customer within upon push star day threat.,Operator Error,4.6,rejected,hard rule failure: no_future_incidents
,SITE-006,,,56.8,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02347,2026-09-25T00:00:00Z,Near Miss,High,Today under coach model station someone reflect read especially decide.,Third-party Damage,8.1,rejected,hard rule failure: no_future_incidents
,SITE-006,,,57.2,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04650,2026-09-22T00:00:00Z,Fire,Critical,Candidate school least attention dog garden out street.,,4.1,rejected,hard rule failure: no_future_incidents
,SITE-006,,,29.2,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04418,2026-08-23T00:00:00Z,Leak,High,Executive thousand magazine attorney military many range learn tough.,Valve Failure,14.7,rejected,hard rule failure: no_future_incidents
,SITE-004,,,91.0,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00304,2026-08-16T00:00:00Z,Equipment Failure,Medium,Raise successful step scene each exist until issue determine.,Third-party Damage,2.8,rejected,hard rule failure: no_future_incidents
,SITE-006,,,56.0,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04447,2026-10-12T00:00:00Z,Leak,,Next water issue church reduce country last arrive.,Material Fatigue,5.5,rejected,hard rule failure: no_future_incidents
,SITE-001,,,115.7,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05120,2026-09-21T00:00:00Z,Near Miss,Medium,Next rise itself ten create.,Valve Failure,16.1,rejected,hard rule failure: no_future_incidents
,SITE-006,,,75.5,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05195,2026-08-19T00:00:00Z,Spill,Medium,Tonight go assume member side assume cell feel.,Material Fatigue,4.6,rejected,hard rule failure: no_future_incidents
,SITE-004,,,51.2,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04891,2026-09-16T00:00:00Z,Near Miss,Critical,Sport since training cold star enjoy medical economy major finish PM certainly carry see garden big how new.,Sensor Malfunction,8.3,rejected,hard rule failure: no_future_incidents
,SITE-004,,,32.1,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03620,2026-09-06T00:00:00Z,Equipment Failure,Critical,Reveal although lose too ago like week decide Mr.,Material Fatigue,5.9,rejected,hard rule failure: no_future_incidents
,SITE-006,,,73.0,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00289,2026-09-25T00:00:00Z,Leak,Medium,Its Democrat impact other everyone inside appear someone true.,Corrosion,4.9,rejected,hard rule failure: no_future_incidents
,SITE-001,,,48.1,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00718,2026-07-25T00:00:00Z,Spill,Critical,Adult decade seem blue memory take environmental range chair development decade tax.,Material Fatigue,19.1,rejected,hard rule failure: no_future_incidents
,SITE-004,,,46.6,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04090,2026-09-22T00:00:00Z,Equipment Failure,High,Page thus yes piece my reflect learn.,Corrosion,1.7,rejected,hard rule failure: no_future_incidents
,SITE-003,,,52.7,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02600,2026-10-07T00:00:00Z,Leak,High,Throw production cold young ability protect cause.,Valve Failure,3.5,rejected,hard rule failure: no_future_incidents
,SITE-003,,,54.1,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04610,2026-08-05T00:00:00Z,Near Miss,Critical,Ability nice four understand scene.,Corrosion,5.0,rejected,hard rule failure: no_future_incidents
,SITE-001,,,77.2,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05814,2026-09-02T00:00:00Z,Equipment Failure,Medium,Air fly type area around.,Operator Error,2.3,rejected,hard rule failure: no_future_incidents
,SITE-003,,,70.1,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04065,2026-08-17T00:00:00Z,Leak,Low,Order technology foot beyond per middle hospital maintain question ability himself.,,8.6,rejected,hard rule failure: no_future_incidents
,SITE-001,,,76.9,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05970,2026-09-03T00:00:00Z,Equipment Failure,,Carry especially play goal much design future.,,5.8,rejected,hard rule failure: no_future_incidents
,SITE-002,,,90.6,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02975,2026-08-13T00:00:00Z,Equipment Failure,Low,Sell just the late middle very become pay size for wall science.,Valve Failure,3.8,rejected,hard rule failure: no_future_incidents
,SITE-005,,,54.0,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01106,2026-09-29T00:00:00Z,Fire,Medium,Appear part authority interest dark bank black organization recognize strategy four east else audience design.,Third-party Damage,5.6,rejected,hard rule failure: no_future_incidents
,SITE-001,,,84.4,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00516,2026-08-13T00:00:00Z,Leak,Low,Air run behavior note response almost sell trouble gas capital forward professional learn accept.,Valve Failure,9.7,rejected,hard rule failure: no_future_incidents
,SITE-005,,,68.9,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01302,2026-09-14T00:00:00Z,Equipment Failure,Medium,Dog animal American woman final even break friend mention market way feeling let.,Material Fatigue,10.9,rejected,hard rule failure: no_future_incidents
,SITE-004,,,68.3,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01973,2026-10-15T00:00:00Z,Fire,Medium,Response three relationship surface air wear.,Operator Error,12.7,rejected,hard rule failure: no_future_incidents
,SITE-001,,,80.8,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00620,2026-08-27T00:00:00Z,Near Miss,Low,Company ask account old hour against.,Operator Error,14.7,rejected,hard rule failure: no_future_incidents
,SITE-003,,,84.9,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01843,2026-09-05T00:00:00Z,Spill,Low,Else plant mean report full collection institution exist alone reality issue treatment power.,Third-party Damage,4.0,rejected,hard rule failure: no_future_incidents
,SITE-003,,,74.2,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01697,2026-08-21T00:00:00Z,Spill,Medium,International sea under sea month road involve cut total professor each yes.,Valve Failure,4.2,rejected,hard rule failure: no_future_incidents
,SITE-006,,,50.7,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05250,2026-08-17T00:00:00Z,Equipment Failure,Critical,Throughout not growth heart ground magazine glass state official back court well attention water conference design after response perform.,Third-party Damage,1.3,rejected,hard rule failure: no_future_incidents
,SITE-001,,,79.3,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00491,2026-07-30T00:00:00Z,Equipment Failure,Medium,Notice stuff a every involve close.,Valve Failure,5.8,rejected,hard rule failure: no_future_incidents
,SITE-002,,,88.4,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00701,2026-07-24T00:00:00Z,Near Miss,Low,Operation against food movie store hair task not market.,Third-party Damage,3.9,rejected,hard rule failure: no_future_incidents
,SITE-005,,,75.2,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01171,2026-07-25T00:00:00Z,Spill,Low,Expert fund movement quality machine too material key.,Valve Failure,7.1,rejected,hard rule failure: no_future_incidents
,SITE-006,,,61.9,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05025,2026-10-03T00:00:00Z,,High,Parent put father music develop customer break.,Corrosion,8.0,rejected,hard rule failure: no_future_incidents
,SITE-003,,,41.8,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00757,2026-08-24T00:00:00Z,Leak,High,Here war technology after PM no last see herself region hard.,Operator Error,2.1,rejected,hard rule failure: no_future_incidents
,SITE-005,,,51.2,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04710,2026-08-24T00:00:00Z,Equipment Failure,High,Group soldier PM structure case book remain traditional speech.,Valve Failure,9.2,rejected,hard rule failure: no_future_incidents
,SITE-006,,,77.7,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02675,2026-10-07T00:00:00Z,Near Miss,Medium,Appear him blood teach medical design score control play action party read stage year back benefit.,Sensor Malfunction,1.9,rejected,hard rule failure: no_future_incidents
,SITE-005,,,84.2,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00266,2026-10-08T00:00:00Z,Near Miss,Low,Nearly little program reason remember side reason research stay.,Operator Error,13.2,rejected,hard rule failure: no_future_incidents
,SITE-002,,,46.2,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05369,2026-09-24T00:00:00Z,,High,Officer organization itself quite light as stand relate race.,Operator Error,4.9,rejected,hard rule failure: no_future_incidents
,SITE-002,,,88.7,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03589,2026-09-11T00:00:00Z,,Low,High catch stay charge relationship morning state down thousand.,Operator Error,12.0,rejected,hard rule failure: no_future_incidents
,SITE-006,,,67.6,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00999,2026-08-08T00:00:00Z,Near Miss,High,Sound college across decade fill floor name police paper leader.,Material Fatigue,19.9,rejected,hard rule failure: no_future_incidents
,SITE-002,,,75.1,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01134,2026-08-29T00:00:00Z,,Medium,Actually wide dark sell establish finish both decade whom.,Third-party Damage,3.4,rejected,hard rule failure: no_future_incidents
,SITE-001,,,90.7,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01686,2026-08-10T00:00:00Z,Near Miss,Low,Ability first despite entire history song discussion future.,Operator Error,3.2,rejected,hard rule failure: no_future_incidents
,SITE-005,,,65.0,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00534,2026-08-08T00:00:00Z,Spill,High,Office spring world compare choose yet evidence store operation fill.,Operator Error,9.9,rejected,hard rule failure: no_future_incidents
,SITE-006,,,-0.5,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-04027,2026-10-05T00:00:00Z,Leak,Critical,Beat oil bad research before go appear.,Sensor Malfunction,1.9,rejected,hard rule failure: no_future_incidents
,SITE-002,,,93.9,,,,,Under Investigation,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05359,2026-10-02T00:00:00Z,,Low,While fast spend care place might among black card.,Corrosion,12.8,rejected,hard rule failure: no_future_incidents
,SITE-006,,,68.6,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00057,2026-10-14T00:00:00Z,Near Miss,Critical,Which color story person.,Third-party Damage,14.5,rejected,hard rule failure: no_future_incidents
,SITE-003,,,81.4,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-02312,2026-07-27T00:00:00Z,Fire,Low,Provide down stay throughout indicate consumer world indeed guy parent attorney offer create.,Operator Error,6.8,rejected,hard rule failure: no_future_incidents
,SITE-004,,,55.1,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-00458,2026-09-25T00:00:00Z,Near Miss,Medium,Season final option knowledge school by around wide wish pay fly however.,Sensor Malfunction,3.8,rejected,hard rule failure: no_future_incidents
,SITE-001,,,65.4,,,,,Closed,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-01047,2026-09-26T00:00:00Z,Near Miss,Medium,Future seek few other crime court gun western authority throughout.,Sensor Malfunction,4.9,rejected,hard rule failure: no_future_incidents
,SITE-005,,,43.8,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-05962,2026-08-25T00:00:00Z,Equipment Failure,High,Space room but increase knowledge rise culture organization skill think center pretty several yet responsibility issue.,Third-party Damage,27.0,rejected,hard rule failure: no_future_incidents
,SITE-006,,,35.3,,,,,Open,incidents_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,INC-03475,2026-09-05T00:00:00Z,Leak,Critical,Little food suggest however ago across spring response hospital wrong.,,7.7,rejected,hard rule failure: no_future_incidents
